phase,prompt_type,prompt_text,steps,clip_score,image_path
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",80,0.34326171875,../assets/quality_study_full/Simple_coarse_step80.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",60,0.34521484375,../assets/quality_study_full/Simple_coarse_step60.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",50,0.360595703125,../assets/quality_study_full/Simple_coarse_step50.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",40,0.353271484375,../assets/quality_study_full/Simple_coarse_step40.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",30,0.349853515625,../assets/quality_study_full/Simple_coarse_step30.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",20,0.361083984375,../assets/quality_study_full/Simple_coarse_step20.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",10,0.365966796875,../assets/quality_study_full/Simple_coarse_step10.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",80,0.408203125,../assets/quality_study_full/Complex_coarse_step80.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",60,0.410888671875,../assets/quality_study_full/Complex_coarse_step60.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",50,0.3994140625,../assets/quality_study_full/Complex_coarse_step50.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",40,0.402587890625,../assets/quality_study_full/Complex_coarse_step40.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",30,0.408935546875,../assets/quality_study_full/Complex_coarse_step30.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",20,0.404052734375,../assets/quality_study_full/Complex_coarse_step20.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",10,0.408935546875,../assets/quality_study_full/Complex_coarse_step10.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",1,3.719329833984375e-05,../assets/quality_study_full/Simple_fine_step1.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",2,0.07659912109375,../assets/quality_study_full/Simple_fine_step2.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",3,0.08404541015625,../assets/quality_study_full/Simple_fine_step3.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",4,0.2342529296875,../assets/quality_study_full/Simple_fine_step4.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",5,0.324951171875,../assets/quality_study_full/Simple_fine_step5.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",6,0.3359375,../assets/quality_study_full/Simple_fine_step6.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",7,0.35400390625,../assets/quality_study_full/Simple_fine_step7.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",8,0.35791015625,../assets/quality_study_full/Simple_fine_step8.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",9,0.365478515625,../assets/quality_study_full/Simple_fine_step9.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",10,0.365966796875,../assets/quality_study_full/Simple_fine_step10.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",11,0.365478515625,../assets/quality_study_full/Simple_fine_step11.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",12,0.353271484375,../assets/quality_study_full/Simple_fine_step12.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",13,0.35302734375,../assets/quality_study_full/Simple_fine_step13.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",14,0.356201171875,../assets/quality_study_full/Simple_fine_step14.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",15,0.3525390625,../assets/quality_study_full/Simple_fine_step15.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",1,0.10333251953125,../assets/quality_study_full/Complex_fine_step1.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",2,0.1331787109375,../assets/quality_study_full/Complex_fine_step2.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",3,0.247314453125,../assets/quality_study_full/Complex_fine_step3.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",4,0.282470703125,../assets/quality_study_full/Complex_fine_step4.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",5,0.34814453125,../assets/quality_study_full/Complex_fine_step5.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",6,0.390869140625,../assets/quality_study_full/Complex_fine_step6.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",7,0.41845703125,../assets/quality_study_full/Complex_fine_step7.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",8,0.41748046875,../assets/quality_study_full/Complex_fine_step8.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",9,0.418701171875,../assets/quality_study_full/Complex_fine_step9.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",10,0.408935546875,../assets/quality_study_full/Complex_fine_step10.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",11,0.407958984375,../assets/quality_study_full/Complex_fine_step11.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",12,0.406494140625,../assets/quality_study_full/Complex_fine_step12.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",13,0.40185546875,../assets/quality_study_full/Complex_fine_step13.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",14,0.411376953125,../assets/quality_study_full/Complex_fine_step14.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",15,0.408203125,../assets/quality_study_full/Complex_fine_step15.png
